iter	RMSE
0	7.936277417
1	7.93313157
2	7.930623792
3	7.928432933
4	7.926523493
5	7.924950926
6	7.922928044
7	7.921110378
8	7.919553818
9	7.918184767
10	7.916531153
11	7.914982583
12	7.913414778
13	7.912100254
14	7.910950456
15	7.909519023
16	7.908076732
17	7.906727695
18	7.905674507
19	7.904371766
20	7.903285345
21	7.902096336
22	7.900830259
23	7.899704442
24	7.89868458
25	7.897648001
26	7.896718007
27	7.895680166
28	7.894783978
29	7.893769276
30	7.892983368
31	7.891965064
32	7.891146116
33	7.890362841
34	7.889450011
35	7.888614392
36	7.887841974
37	7.886980012
38	7.886118377
39	7.885246306
40	7.884303708
41	7.883442512
42	7.88256056
43	7.881845352
44	7.880900886
45	7.880044533
46	7.879206308
47	7.878450961
48	7.877600136
49	7.876808601
50	7.876053716
51	7.875239591
52	7.874457145
53	7.873733368
54	7.873045944
55	7.872304412
56	7.871582471
57	7.870796169
58	7.870056656
59	7.869337848
60	7.868671936
61	7.868071011
62	7.867241575
63	7.866552937
64	7.865749123
65	7.8650582
66	7.864349233
67	7.863768548
68	7.863104781
69	7.862390364
70	7.861705864
71	7.861079834
72	7.86042446
73	7.85976843
74	7.859136263
75	7.858502038
76	7.857922926
77	7.85723962
78	7.85656601
79	7.856024679
80	7.855415779
81	7.854723915
82	7.854120152
83	7.853449526
84	7.852749371
85	7.852154667
86	7.851563947
87	7.850991373
88	7.850360411
89	7.849759381
90	7.84921312
91	7.848634074
92	7.848110994
93	7.847514946
94	7.846960495
95	7.846473565
96	7.845926693
97	7.845350047
98	7.844751372
99	7.844182431
100	7.843590191
101	7.842913209
102	7.842330494
103	7.841789226
104	7.841114177
105	7.840580792
106	7.840031686
107	7.839430941
108	7.838843691
109	7.838242516
110	7.837728688
111	7.837220847
112	7.836631867
113	7.835938875
114	7.835324384
115	7.834795245
116	7.834179743
117	7.833605897
118	7.833052597
119	7.832377766
120	7.831986536
121	7.831465698
122	7.830905782
123	7.830391355
124	7.829786939
125	7.829217553
126	7.828594821
127	7.827927353
128	7.827214387
129	7.826689406
130	7.82611555
131	7.825484568
132	7.824857512
133	7.82427894
134	7.82366936
135	7.82308622
136	7.82237355
137	7.821555076
138	7.820976433
139	7.820372799
140	7.819731504
141	7.819041264
142	7.818407136
143	7.8177358
144	7.817115998
145	7.816523964
146	7.815881853
147	7.815172544
148	7.814440202
149	7.81373346
150	7.812939371
151	7.812124704
152	7.811461619
153	7.810783256
154	7.810199497
155	7.809599884
156	7.808766562
157	7.807941808
158	7.807313242
159	7.806620107
160	7.805742674
161	7.805093055
162	7.804574771
163	7.803922247
164	7.8032362
165	7.802517386
166	7.802023092
167	7.801365589
168	7.800722411
169	7.800100365
170	7.799377763
171	7.798577859
172	7.797973606
173	7.797310206
174	7.796725808
175	7.79611098
176	7.795444354
177	7.794871106
178	7.794405744
179	7.793849682
180	7.793251354
181	7.792690341
182	7.79193422
183	7.791188481
184	7.790600231
185	7.789930956
186	7.789295038
187	7.788722479
188	7.788115626
189	7.787570011
190	7.786943017
191	7.786240102
192	7.785647547
193	7.784979685
194	7.784485192
195	7.78378332
196	7.783145268
197	7.782461706
198	7.781712139
199	7.781049232
200	7.780445242
201	7.779780768
202	7.779253469
203	7.77847303
204	7.777838464
205	7.777107165
206	7.776446237
207	7.775725711
208	7.775156709
209	7.77447421
210	7.773966657
211	7.773331599
212	7.772677195
213	7.771985048
214	7.771482264
215	7.770788125
216	7.770076664
217	7.769446768
218	7.768841302
219	7.768265128
220	7.76764471
221	7.766934469
222	7.766193489
223	7.76559576
224	7.764937251
225	7.764330951
226	7.763776067
227	7.763162413
228	7.76257612
229	7.762008227
230	7.761419005
231	7.760813549
232	7.759974185
233	7.759348038
234	7.758783476
235	7.758116149
236	7.757635743
237	7.757116664
238	7.756389916
239	7.75564175
240	7.754980072
241	7.754327747
242	7.753801228
243	7.753326739
244	7.752779735
245	7.752134038
246	7.751547828
247	7.750866205
248	7.750172725
249	7.749504522
250	7.748896738
251	7.748380308
252	7.747722308
253	7.747280825
254	7.746625143
255	7.746074682
256	7.745453389
257	7.744753588
258	7.744102505
259	7.743553222
260	7.742936276
261	7.742361055
262	7.74179365
263	7.741355394
264	7.740783392
265	7.740159333
266	7.739405911
267	7.738865058
268	7.738231588
269	7.737555354
270	7.737095207
271	7.736415976
272	7.735769736
