iter	Passed	Remaining
0	40	40264
1	69	34844
2	104	34779
3	133	33270
4	165	32850
5	192	31827
6	218	30925
7	245	30428
8	272	29989
9	300	29795
10	329	29626
11	353	29107
12	379	28835
13	418	29502
14	442	29064
15	468	28839
16	492	28499
17	520	28370
18	542	28009
19	566	27736
20	591	27559
21	617	27471
22	643	27340
23	669	27220
24	699	27283
25	724	27154
26	769	27740
27	799	27741
28	832	27865
29	857	27715
30	883	27604
31	906	27411
32	933	27348
33	958	27241
34	984	27131
35	1008	26997
36	1031	26855
37	1055	26720
38	1078	26564
39	1099	26399
40	1125	26322
41	1151	26254
42	1176	26172
43	1199	26062
44	1222	25940
45	1246	25858
46	1270	25769
47	1296	25711
48	1319	25612
49	1343	25532
50	1368	25459
51	1395	25437
52	1418	25351
53	1445	25316
54	1468	25234
55	1493	25179
56	1516	25090
57	1538	24979
58	1560	24882
59	1583	24803
60	1608	24764
61	1633	24708
62	1660	24699
63	1687	24674
64	1714	24662
65	1744	24683
66	1767	24613
67	1789	24525
68	1816	24510
69	1841	24464
70	1863	24382
71	1886	24319
72	1908	24235
73	1929	24146
74	1953	24095
75	1977	24039
76	2000	23977
77	2021	23892
78	2043	23823
79	2068	23787
80	2092	23737
81	2114	23667
82	2138	23628
83	2163	23587
84	2186	23537
85	2209	23480
86	2233	23441
87	2256	23387
88	2277	23317
89	2299	23247
90	2320	23178
91	2341	23111
92	2366	23078
93	2389	23026
94	2412	22985
95	2434	22922
96	2455	22861
97	2478	22816
98	2500	22759
99	2522	22704
100	2545	22656
101	2568	22610
102	2592	22581
103	2617	22551
104	2646	22558
105	2671	22529
106	2702	22557
107	2731	22557
108	2755	22527
109	2782	22516
110	2804	22459
111	2825	22404
112	2846	22339
113	2867	22285
114	2894	22276
115	2916	22223
116	2939	22185
117	2963	22147
118	2984	22094
119	3006	22045
120	3025	21979
121	3046	21927
122	3069	21885
123	3090	21830
124	3112	21787
125	3134	21744
126	3156	21695
127	3179	21662
128	3202	21623
129	3222	21563
130	3242	21509
131	3264	21465
132	3286	21425
133	3310	21395
134	3332	21353
135	3354	21311
136	3377	21277
137	3403	21258
138	3424	21212
139	3446	21169
140	3467	21124
141	3493	21111
142	3520	21098
143	3544	21072
144	3569	21044
145	3593	21017
146	3616	20983
147	3642	20967
148	3669	20958
149	3696	20946
150	3722	20931
151	3746	20902
152	3770	20873
153	3793	20839
154	3814	20795
155	3837	20760
156	3861	20732
157	3884	20703
158	3911	20691
159	3937	20671
160	3961	20645
161	3984	20608
162	4005	20567
163	4026	20524
164	4047	20484
165	4070	20452
166	4091	20410
167	4112	20367
168	4132	20321
169	4156	20292
170	4179	20259
171	4204	20239
172	4226	20205
173	4248	20170
174	4270	20131
175	4293	20101
176	4316	20068
177	4337	20032
178	4358	19992
179	4380	19954
180	4401	19918
181	4422	19877
182	4446	19851
183	4469	19820
184	4490	19782
185	4511	19745
186	4534	19713
187	4555	19676
188	4577	19644
189	4601	19614
190	4624	19585
191	4649	19565
192	4674	19543
193	4700	19529
194	4725	19506
195	4747	19474
196	4771	19448
197	4792	19411
198	4816	19388
199	4842	19368
200	4864	19337
201	4887	19306
202	4909	19275
203	4934	19255
204	4957	19226
205	4980	19197
206	5001	19160
207	5023	19127
208	5044	19091
209	5067	19063
210	5089	19032
211	5110	18994
212	5132	18962
213	5157	18942
214	5179	18911
215	5204	18889
216	5227	18861
217	5248	18828
218	5271	18800
219	5294	18770
220	5317	18742
221	5340	18716
222	5365	18696
223	5386	18662
224	5410	18635
225	5433	18609
226	5455	18576
227	5477	18547
228	5499	18514
229	5520	18482
230	5543	18454
231	5565	18422
232	5590	18404
233	5613	18374
234	5635	18346
235	5659	18321
236	5681	18292
237	5703	18261
238	5729	18243
239	5752	18216
240	5776	18193
241	5801	18170
242	5821	18136
243	5842	18102
244	5864	18071
245	5888	18049
246	5909	18016
247	5931	17986
248	5956	17966
249	5978	17936
250	6000	17906
251	6022	17875
252	6046	17851
253	6065	17814
254	6086	17783
255	6110	17758
256	6134	17733
257	6159	17715
258	6185	17695
259	6207	17666
260	6229	17637
261	6251	17608
262	6272	17577
263	6292	17542
264	6314	17513
265	6339	17493
266	6366	17477
267	6390	17455
268	6414	17430
269	6440	17414
270	6462	17383
271	6483	17354
272	6507	17328
273	6530	17304
274	6554	17279
275	6574	17246
276	6594	17212
277	6616	17183
278	6639	17159
279	6660	17127
280	6684	17104
281	6707	17078
282	6729	17050
283	6750	17017
284	6771	16988
285	6792	16958
286	6812	16925
287	6834	16897
288	6857	16870
289	6878	16839
290	6909	16834
291	6934	16813
292	6956	16786
293	6981	16765
294	7002	16734
295	7028	16715
296	7050	16688
297	7072	16659
298	7095	16636
299	7119	16611
300	7140	16583
301	7162	16554
302	7183	16525
303	7203	16492
304	7228	16470
305	7249	16440
306	7269	16410
307	7293	16387
308	7315	16359
309	7338	16333
310	7358	16302
311	7380	16274
312	7403	16248
313	7428	16228
314	7447	16194
315	7469	16168
316	7490	16139
317	7510	16108
