iter	RMSE
0	7.939631114
1	7.939231141
2	7.93889161
3	7.938426656
4	7.937809382
5	7.937197378
6	7.936839281
7	7.936361607
8	7.935768254
9	7.935398051
10	7.934950255
11	7.934510557
12	7.934125451
13	7.933600836
14	7.933081789
15	7.932549541
16	7.932115313
17	7.931691707
18	7.931303102
19	7.930909714
20	7.93053368
21	7.930058988
22	7.929645922
23	7.929300375
24	7.928987325
25	7.928685193
26	7.928332037
27	7.928025395
28	7.927673051
29	7.927385445
30	7.927071759
31	7.926751051
32	7.926523408
33	7.926275852
34	7.925907729
35	7.925535103
36	7.925228914
37	7.924949071
38	7.924664171
39	7.924294571
40	7.924020865
41	7.923787534
42	7.923546905
43	7.923219604
44	7.922874338
45	7.922613766
46	7.922346734
47	7.922009565
48	7.921715022
49	7.92146395
50	7.921197721
51	7.920958977
52	7.920655416
53	7.920324348
54	7.920134118
55	7.919893939
56	7.919714641
57	7.919417487
58	7.919008636
59	7.918751024
60	7.918519502
61	7.918291623
62	7.917997222
63	7.917731157
64	7.917410912
65	7.917134162
66	7.916871997
67	7.916655579
68	7.916473682
69	7.916276061
70	7.916081242
71	7.915849361
72	7.915607368
73	7.91541169
74	7.915185686
75	7.914982137
76	7.914742924
77	7.914446987
78	7.914240892
79	7.913994075
80	7.913761011
81	7.913494803
82	7.913123558
83	7.912869686
84	7.912533237
85	7.912350683
86	7.912181607
87	7.911963094
88	7.911719015
89	7.911506107
90	7.911283363
91	7.911069039
92	7.910800493
93	7.910530253
94	7.910208594
95	7.90998497
96	7.909780444
97	7.909574788
98	7.90942251
99	7.909209541
100	7.908951609
101	7.908712776
102	7.908475341
103	7.908226659
104	7.907956893
105	7.907740231
106	7.907527778
107	7.907338083
108	7.907117188
109	7.906961209
110	7.906717257
111	7.906523045
112	7.906331078
113	7.906082047
114	7.905797591
115	7.905592395
116	7.905338281
117	7.905147409
118	7.904868261
119	7.904690872
120	7.904521631
121	7.904335519
122	7.904134783
123	7.903946693
124	7.903693932
125	7.903511456
126	7.903307043
127	7.903112748
128	7.902913668
129	7.902759855
130	7.90251718
131	7.902320897
132	7.90210633
133	7.901902162
134	7.901666772
135	7.901521091
136	7.901311002
137	7.901126221
138	7.900934966
139	7.900731049
140	7.900549348
141	7.900339233
142	7.900160617
143	7.90001744
144	7.899860477
145	7.899649219
146	7.899511377
147	7.899351872
148	7.899162262
149	7.898976586
150	7.89872226
151	7.898510408
152	7.898288141
153	7.898094566
154	7.897855405
155	7.897689113
156	7.89753323
157	7.897337385
158	7.897216106
159	7.89704558
160	7.896867452
161	7.896676094
162	7.89648839
163	7.896295052
164	7.896141674
165	7.895991951
166	7.895809578
167	7.895575132
168	7.895392186
169	7.89516758
170	7.895031912
171	7.894892582
172	7.894767606
173	7.894577886
174	7.894434045
175	7.894171127
176	7.894043324
177	7.893819523
178	7.893684395
179	7.893528432
180	7.893328266
181	7.893186373
182	7.89298845
183	7.892855841
184	7.89268325
185	7.892532335
186	7.892327639
187	7.892166862
188	7.891989187
189	7.89179405
190	7.891596656
191	7.891446565
192	7.891316747
193	7.891140743
194	7.890897428
195	7.890727047
196	7.890560605
197	7.890402891
198	7.890167158
199	7.889992536
200	7.889842415
201	7.889682433
202	7.889487802
203	7.889352882
204	7.889235423
205	7.889086695
206	7.888971486
207	7.888814022
208	7.888666131
209	7.888455982
210	7.888341045
211	7.888187794
212	7.887981294
213	7.887747179
214	7.887578138
215	7.887435578
216	7.887311329
217	7.88714087
218	7.886969281
219	7.886835163
220	7.886663567
221	7.886551422
222	7.886391655
223	7.886238365
224	7.886093527
225	7.88591487
226	7.885689993
227	7.88554909
228	7.885417765
229	7.885275448
230	7.885053371
231	7.884925984
232	7.88477013
233	7.884622164
234	7.884475041
235	7.884288455
236	7.884122159
237	7.883977282
238	7.883841703
239	7.883710069
240	7.883606338
241	7.883475545
242	7.883274559
243	7.883099503
244	7.882914577
245	7.882770804
246	7.882606732
247	7.882452805
248	7.882304795
249	7.882176518
250	7.881978883
251	7.881819305
252	7.881680024
253	7.881552864
254	7.881402019
255	7.881279366
256	7.881132744
257	7.880978507
258	7.880882635
259	7.880733468
260	7.880596988
261	7.880494908
262	7.880281157
263	7.880133389
264	7.879990694
265	7.879830793
266	7.879697964
267	7.879525648
268	7.879350509
269	7.879204698
270	7.879065934
271	7.87894663
272	7.878804478
273	7.878678682
274	7.878528345
275	7.878379134
276	7.878252203
277	7.878137964
278	7.878001439
279	7.877815264
280	7.877679015
281	7.877567024
282	7.877414127
283	7.877289438
284	7.877116224
285	7.877000839
286	7.876885171
287	7.876780222
288	7.87662336
289	7.876471009
290	7.876360412
291	7.876199309
292	7.876061057
293	7.875949608
294	7.875818123
295	7.87569877
296	7.875551762
297	7.875402212
298	7.875268461
299	7.875110722
300	7.874960882
301	7.874827406
302	7.874705779
303	7.874592335
304	7.87448284
305	7.874334963
306	7.87419047
307	7.874010132
308	7.873873253
309	7.87370081
310	7.873555458
311	7.873386396
312	7.873239909
313	7.87307338
314	7.872901202
315	7.87275894
316	7.872639823
317	7.872472152
318	7.87232339
319	7.87217152
320	7.87204082
321	7.871924514
322	7.871812724
323	7.871654069
324	7.871544815
325	7.871436972
326	7.871328844
327	7.871209423
328	7.871129525
329	7.870957869
330	7.870774916
331	7.870650686
332	7.870533231
333	7.870389232
334	7.870266973
335	7.870168147
336	7.870046167
337	7.869929832
338	7.869779328
339	7.869581946
340	7.86937524
341	7.86927951
342	7.869146219
343	7.869060935
344	7.868948822
345	7.868809313
346	7.868685899
347	7.868539043
348	7.868424945
349	7.868299548
350	7.868159745
351	7.868070214
352	7.867958086
353	7.867822514
354	7.867718856
355	7.867623671
356	7.867506452
357	7.867427364
358	7.867271446
359	7.867124563
360	7.866938413
361	7.866751412
362	7.866653672
363	7.866527117
364	7.866382763
365	7.866252249
366	7.866149418
367	7.866058169
368	7.865893465
369	7.865739493
370	7.865635808
371	7.865513475
372	7.865406961
373	7.865308357
374	7.865168501
375	7.865039097
376	7.864959419
377	7.864828316
378	7.864679975
379	7.86453587
380	7.864430473
381	7.864300492
382	7.864105515
383	7.863994461
384	7.863839322
385	7.863703962
386	7.863604489
387	7.863474494
388	7.863379539
389	7.863252366
390	7.863093256
391	7.862988123
392	7.862830986
393	7.862731502
394	7.86257125
395	7.862421171
396	7.862282394
397	7.862171032
398	7.862079454
399	7.861946889
400	7.861838349
401	7.86170154
402	7.861579994
403	7.861449965
404	7.861332938
405	7.86123824
406	7.861116686
407	7.861013223
408	7.860871877
409	7.860771237
410	7.860698866
411	7.860578718
412	7.860472703
413	7.86037121
414	7.860271412
415	7.860146733
416	7.860041843
417	7.859916313
418	7.859791063
419	7.859686451
420	7.859574487
421	7.859423502
422	7.859305878
423	7.859188253
424	7.859093247
425	7.858992302
426	7.858897859
427	7.858745164
428	7.858607454
429	7.858456167
430	7.858341075
431	7.858206468
432	7.858052063
433	7.857926501
434	7.857806875
435	7.85766123
436	7.857533681
437	7.85740302
438	7.857285084
439	7.857146216
440	7.857057125
441	7.85695078
442	7.856811341
443	7.856723094
444	7.856607976
445	7.856487199
446	7.856396969
447	7.856265723
448	7.856128252
449	7.856015954
450	7.855900825
451	7.855760236
452	7.855633789
453	7.855495175
454	7.855350618
455	7.855236046
456	7.855075924
457	7.854913254
458	7.854802353
459	7.854639676
460	7.854521981
461	7.854399192
462	7.854287435
463	7.854152476
464	7.854000821
465	7.853885097
466	7.853735417
467	7.85364176
468	7.853562249
469	7.853449065
470	7.853331353
471	7.853198358
472	7.85309479
473	7.852956131
474	7.852831902
475	7.85271701
476	7.852593344
477	7.852511842
478	7.852374022
479	7.852261104
480	7.852137713
481	7.852011207
482	7.851882718
483	7.851759605
484	7.851633376
485	7.851531768
486	7.851443179
487	7.851359684
488	7.851242223
489	7.851122779
490	7.851005314
491	7.850907662
492	7.85080095
493	7.850699332
494	7.850618659
495	7.850496941
496	7.850387393
497	7.850281241
498	7.85011847
499	7.849989384
500	7.849863976
501	7.849709124
502	7.849626743
503	7.849511521
504	7.849372799
505	7.849242568
506	7.849107522
507	7.848960865
508	7.848807977
509	7.848710297
510	7.848614881
511	7.84848577
512	7.848370532
513	7.848209138
514	7.848055952
515	7.847945803
516	7.847847546
517	7.847698035
518	7.847576271
519	7.847463284
520	7.847361623
521	7.847273837
522	7.847151783
523	7.847037091
524	7.846927495
525	7.846789294
526	7.846657038
527	7.846544887
528	7.846427071
529	7.846306137
530	7.846204178
531	7.846096552
532	7.845993741
533	7.845868552
534	7.845761205
535	7.845638562
536	7.845564635
537	7.84545955
538	7.845352765
539	7.845249376
540	7.845137772
541	7.845021634
542	7.844888215
543	7.844774906
544	7.844684258
545	7.844546018
546	7.844428171
547	7.844264996
548	7.844130431
549	7.844024477
550	7.843914272
551	7.843817665
552	7.843693858
553	7.843580248
554	7.843443121
555	7.843328658
556	7.843201161
557	7.843076494
558	7.842967976
559	7.842847272
560	7.842740451
561	7.842644962
562	7.842505269
563	7.842376057
564	7.842261295
565	7.842139164
566	7.842027232
567	7.841915582
568	7.841832269
569	7.841731952
570	7.841603861
571	7.841506375
572	7.841413705
573	7.841297795
574	7.841180183
575	7.841057468
576	7.840923132
577	7.840780857
578	7.840641981
579	7.840508487
580	7.840396815
581	7.840254531
582	7.840153627
583	7.840058673
584	7.839924036
585	7.839803002
586	7.839666093
587	7.839544771
588	7.839429684
589	7.839304958
590	7.839189017
591	7.839069389
592	7.838920277
593	7.838782218
594	7.838670522
595	7.83856336
596	7.838436352
597	7.83832777
598	7.83822032
599	7.83810011
600	7.837968558
601	7.837859402
602	7.83773465
603	7.837652143
604	7.837536461
605	7.837424747
606	7.837293184
607	7.837156797
608	7.837045362
609	7.836916627
610	7.836822485
611	7.836703105
612	7.83660017
613	7.836493547
614	7.836377564
615	7.83626867
616	7.836121773
617	7.835999546
618	7.835850943
619	7.835727294
620	7.83562548
621	7.835520262
622	7.835404832
623	7.835288834
624	7.83517255
625	7.835026484
626	7.834897432
627	7.834789652
628	7.834667688
629	7.834537212
630	7.834403615
631	7.834278525
632	7.834164211
633	7.834066916
634	7.833908348
635	7.833778427
636	7.8336312
637	7.83349163
638	7.833347518
639	7.833229219
640	7.833103543
641	7.832973041
642	7.832833176
643	7.832719409
644	7.832560246
645	7.832418103
646	7.832279645
647	7.832131539
648	7.831991091
649	7.831853193
650	7.831744236
651	7.831616549
652	7.831498792
653	7.831361454
654	7.831247382
655	7.831100959
656	7.830965883
657	7.830837617
658	7.830728077
659	7.830585617
660	7.830454223
661	7.830324812
662	7.830199657
663	7.830090676
664	7.82993742
665	7.829795513
666	7.829643386
667	7.82950119
668	7.829355018
669	7.829236375
670	7.829087076
671	7.828941748
672	7.828801242
673	7.828643703
674	7.828510572
675	7.828366085
676	7.828211659
677	7.828068018
678	7.82793431
679	7.827781863
680	7.827641052
681	7.827501659
682	7.827350055
683	7.827217755
684	7.827084032
685	7.826949172
686	7.826806927
687	7.826681715
688	7.826528392
689	7.826395793
690	7.82624502
691	7.82610475
692	7.825990601
693	7.825838968
694	7.825723964
695	7.825596179
696	7.825460441
697	7.825278128
698	7.825138976
699	7.824982783
700	7.824849306
701	7.824706739
702	7.82456559
703	7.824429834
704	7.824287543
705	7.824157463
706	7.823991309
707	7.82386804
708	7.823727728
709	7.823594798
710	7.823457036
711	7.823317853
712	7.823175826
713	7.82305226
714	7.822902559
715	7.82277416
716	7.822634112
717	7.822480993
718	7.822326451
719	7.822194634
720	7.822063098
721	7.821918776
722	7.821775871
723	7.821648306
724	7.821500282
725	7.821370156
726	7.821234628
727	7.821090291
728	7.820926913
729	7.820770351
730	7.820637939
731	7.820509503
732	7.820348955
733	7.820216252
734	7.820068769
735	7.819913327
736	7.819767828
737	7.819641651
738	7.819481085
739	7.819331316
740	7.819188648
741	7.81903802
742	7.818877441
743	7.818736187
744	7.818586402
745	7.818441447
746	7.818272898
747	7.818133338
748	7.8179807
749	7.817839997
750	7.817718337
751	7.817566828
752	7.817410768
753	7.817272045
754	7.817135594
755	7.817003973
756	7.816865811
757	7.816719119
758	7.816573845
759	7.816446194
760	7.816315984
761	7.816163879
762	7.816027124
763	7.815872739
764	7.815702997
765	7.815565381
766	7.815402456
767	7.815268247
768	7.815121525
769	7.814958307
770	7.814822384
771	7.814688449
772	7.814549678
773	7.814431095
774	7.814288622
775	7.814147568
776	7.814013338
777	7.813851234
778	7.813713301
779	7.813574797
780	7.813430602
781	7.813278157
782	7.813128268
783	7.812976101
784	7.812840997
785	7.812697926
786	7.812551724
787	7.812432826
788	7.812298851
789	7.812151788
790	7.812033737
791	7.811866472
792	7.811709729
793	7.811560948
794	7.811428095
795	7.811302353
796	7.811170634
797	7.811021273
798	7.810869065
799	7.810725959
800	7.810584841
801	7.810440022
802	7.810285811
803	7.810140986
804	7.809977948
805	7.809840801
806	7.809709342
807	7.809573612
808	7.809439018
809	7.809316374
810	7.809190028
811	7.809049167
812	7.80890688
813	7.808729588
814	7.808592418
815	7.808463499
816	7.808307542
817	7.808139058
818	7.807991348
819	7.807851035
820	7.807677703
821	7.807526568
822	7.807392508
823	7.807244499
824	7.807103318
825	7.806975229
826	7.806831766
827	7.806682323
828	7.806556219
829	7.806413318
830	7.806290056
831	7.806145442
832	7.806004242
833	7.805868732
834	7.805697919
835	7.805560981
836	7.805418631
837	7.805264036
838	7.805139902
839	7.805005801
840	7.804840378
841	7.804695453
842	7.804579283
843	7.804440616
844	7.804304795
845	7.804185202
846	7.804037701
847	7.803902443
848	7.803759778
849	7.803630779
850	7.803479851
851	7.803338317
852	7.803198205
853	7.803054103
854	7.802921675
855	7.802793802
856	7.802670483
857	7.802519251
858	7.802386814
859	7.802226463
860	7.802067817
861	7.801926258
862	7.801783272
863	7.801664495
864	7.801517231
865	7.801393038
866	7.801261721
867	7.801108183
868	7.800976862
869	7.800830725
870	7.800700253
871	7.800553257
872	7.80042506
873	7.800261249
874	7.800090883
875	7.799964672
876	7.799824215
877	7.799685749
878	7.799545571
879	7.799403681
880	7.799265208
881	7.799120748
882	7.798976001
883	7.798845214
884	7.798684789
885	7.79856682
886	7.798422917
887	7.798280722
888	7.798155907
889	7.798021686
890	7.797899432
891	7.797781451
892	7.797628129
893	7.797495609
894	7.797348837
895	7.797212892
896	7.79709034
897	7.796945271
898	7.796817014
899	7.796694456
900	7.796566196
901	7.796434228
902	7.796293421
903	7.796135795
904	7.795972464
905	7.795823383
906	7.795696249
907	7.795570537
908	7.795437412
909	7.795300008
910	7.795161177
911	7.795030041
912	7.794901468
913	7.794753791
914	7.794602691
915	7.794444745
916	7.794326712
917	7.794198412
918	7.794031049
919	7.793873662
920	7.793757046
921	7.793607352
922	7.793454804
923	7.793308526
924	7.793194467
925	7.793058165
926	7.792907317
927	7.792788974
928	7.792644965
929	7.792509224
930	7.792375191
931	7.79221777
932	7.792092573
933	7.791943703
934	7.791799678
935	7.791660499
936	7.791507342
937	7.791374718
938	7.791235817
939	7.791096058
940	7.790965138
941	7.790833075
942	7.790701295
943	7.790574932
944	7.790419187
945	7.790286544
946	7.790140778
947	7.790006989
948	7.789897161
949	7.789771926
950	7.789617877
951	7.789494064
952	7.789369679
953	7.789215336
954	7.789085526
955	7.788950293
956	7.788787953
957	7.788673543
958	7.788556278
959	7.788426171
960	7.78829863
961	7.788165952
962	7.788046111
963	7.787925983
964	7.787792441
965	7.78767288
966	7.787553602
967	7.787402077
968	7.787284507
969	7.787156092
970	7.787025106
971	7.786887839
972	7.786752853
973	7.786632135
974	7.786498
975	7.786355587
976	7.786236289
977	7.786083311
978	7.785965151
979	7.785831576
980	7.785686011
981	7.785561851
982	7.785437118
983	7.785318662
984	7.785204771
985	7.785063191
986	7.784933597
987	7.784807997
988	7.78466013
989	7.784531956
990	7.784384083
991	7.784233638
992	7.784109169
993	7.78396557
994	7.783829106
995	7.783680934
996	7.783526479
997	7.783391434
998	7.783254389
999	7.783123052
1000	7.782997994
1001	7.782882928
1002	7.782761578
1003	7.782623951
1004	7.782490604
1005	7.782352401
1006	7.782227045
1007	7.78210597
1008	7.781980611
1009	7.78185325
1010	7.781716177
1011	7.781611087
1012	7.781485148
1013	7.781341501
1014	7.781197566
1015	7.781067907
1016	7.78092311
1017	7.780802301
1018	7.780657213
1019	7.78053183
1020	7.780397305
1021	7.780259065
1022	7.780141958
1023	7.780027135
1024	7.779910311
1025	7.779777775
1026	7.77964895
1027	7.779512695
1028	7.779374439
1029	7.779241037
1030	7.779105633
1031	7.778965941
1032	7.778851101
1033	7.77872626
1034	7.778600845
1035	7.778474001
1036	7.778356582
1037	7.778240589
1038	7.778109739
1039	7.777986315
1040	7.777860317
1041	7.777712317
1042	7.777580601
1043	7.777438024
1044	7.777288016
1045	7.777144577
1046	7.777041425
1047	7.776902268
1048	7.776789969
1049	7.776654236
1050	7.776511929
1051	7.776387908
1052	7.776259598
1053	7.776122713
1054	7.775996399
1055	7.775877228
1056	7.775752911
1057	7.775623733
1058	7.775496554
1059	7.775359656
1060	7.775228757
1061	7.775112432
1062	7.774988103
1063	7.774868059
1064	7.77473658
1065	7.774599954
1066	7.774464469
1067	7.774327838
1068	7.774205783
1069	7.774075436
1070	7.773961953
1071	7.773830745
1072	7.773722117
1073	7.773602054
1074	7.773469982
1075	7.77333562
1076	7.773215551
1077	7.773092335
1078	7.772957109
1079	7.772833317
1080	7.772705521
1081	7.772589444
1082	7.772459642
1083	7.77232898
1084	7.77220718
1085	7.772087665
1086	7.771977297
1087	7.771852632
1088	7.771724819
1089	7.771591858
1090	7.771459179
1091	7.771343942
1092	7.771214691
1093	7.771081149
1094	7.770959043
1095	7.770823208
1096	7.770697094
1097	7.770570407
1098	7.770441429
1099	7.770312449
1100	7.770193191
1101	7.770078221
1102	7.769976977
1103	7.769838265
1104	7.769697835
1105	7.769579139
1106	7.769471024
1107	7.769356044
1108	7.769225902
1109	7.769105769
1110	7.76898878
1111	7.768854055
1112	7.768733344
1113	7.768638376
1114	7.768504504
1115	7.76837635
1116	7.768262783
1117	7.768128046
1118	7.76800103
1119	7.767871723
1120	7.767724105
1121	7.767601374
1122	7.767476639
1123	7.767358195
1124	7.76720742
1125	7.767089259
1126	7.766960509
1127	7.766826608
1128	7.76670701
1129	7.766588269
1130	7.766467236
1131	7.766350494
1132	7.766223449
1133	7.766088677
1134	7.765983947
1135	7.765846309
1136	7.765720972
1137	7.765589911
1138	7.765484316
1139	7.765358116
1140	7.765225617
1141	7.765086535
1142	7.764966051
1143	7.764843849
1144	7.764716207
1145	7.764581694
1146	7.764451759
1147	7.764336417
1148	7.764219357
1149	7.76410945
1150	7.7639838
1151	7.763846412
1152	7.763707591
1153	7.763594528
1154	7.763469156
1155	7.763344068
1156	7.763240446
1157	7.763128235
1158	7.763010871
1159	7.762884916
1160	7.762767548
1161	7.762651895
1162	7.762554562
1163	7.76242173
1164	7.76228775
1165	7.762151191
1166	7.762017779
1167	7.761882074
1168	7.761764691
1169	7.761634135
1170	7.761503291
1171	7.761384184
1172	7.761251617
1173	7.761130502
1174	7.761027996
1175	7.760928639
1176	7.760806373
1177	7.760682673
1178	7.760548377
1179	7.760424673
1180	7.760289513
1181	7.760178978
1182	7.760062142
1183	7.759944444
1184	7.759830754
1185	7.75968642
1186	7.759556402
1187	7.759411203
1188	7.759290059
1189	7.759177219
1190	7.759070105
1191	7.758938931
1192	7.758823221
1193	7.758693189
1194	7.758569742
1195	7.758442284
1196	7.758316541
1197	7.758191943
1198	7.758075363
1199	7.757959354
1200	7.757822719
1201	7.757706133
1202	7.757568061
1203	7.757439154
1204	7.757315687
1205	7.757180759
1206	7.757084504
1207	7.756962177
1208	7.756862195
1209	7.756730124
1210	7.756591176
1211	7.756469414
1212	7.75633877
1213	7.756217578
1214	7.756091513
1215	7.755987794
1216	7.755865737
1217	7.755754853
1218	7.755632505
1219	7.755526202
1220	7.755416172
1221	7.755299837
1222	7.755176909
1223	7.755053693
1224	7.754922451
1225	7.754777739
1226	7.754632737
1227	7.754512378
1228	7.754373963
1229	7.754257325
1230	7.75412693
1231	7.754019459
1232	7.753899377
1233	7.753782446
1234	7.753668379
1235	7.753540553
1236	7.753399828
1237	7.753288335
1238	7.753168815
1239	7.753051872
1240	7.752917157
1241	7.752781293
1242	7.752665491
1243	7.752554561
1244	7.752443629
1245	7.752315783
1246	7.752194528
1247	7.752068111
1248	7.751961472
1249	7.751855692
1250	7.751728123
1251	7.751614886
1252	7.751481005
1253	7.751368338
1254	7.751241621
1255	7.751115189
1256	7.750997068
1257	7.750864611
1258	7.750743907
1259	7.750626068
1260	7.750514248
1261	7.750397266
1262	7.750298059
1263	7.750188815
1264	7.750065519
1265	7.749951111
1266	7.749852185
1267	7.749728884
1268	7.749609596
1269	7.74947052
1270	7.749340617
1271	7.749234514
1272	7.749117799
1273	7.748986744
1274	7.748872319
1275	7.74874298
1276	7.748625398
1277	7.748495768
1278	7.748361834
1279	7.748233634
1280	7.748114323
1281	7.748000746
1282	7.74787426
1283	7.747775021
1284	7.747647098
1285	7.747513149
1286	7.747386082
1287	7.747271921
1288	7.747142556
1289	7.747020933
1290	7.746903037
1291	7.746802351
1292	7.746702811
1293	7.746592656
1294	7.746456681
1295	7.746344227
1296	7.746226895
1297	7.746115873
1298	7.745977307
1299	7.745848207
1300	7.745730867
1301	7.745599181
1302	7.745475525
1303	7.745351294
1304	7.745234234
1305	7.745110285
1306	7.744997812
1307	7.744903988
1308	7.744765975
1309	7.744638576
1310	7.744510314
1311	7.744399554
1312	7.744285922
1313	7.744181472
1314	7.744052628
1315	7.743916609
1316	7.743801823
1317	7.743674695
1318	7.743524607
1319	7.743383986
1320	7.743256851
1321	7.743157553
1322	7.743024101
1323	7.742910449
1324	7.742778141
1325	7.742666494
1326	7.742530451
1327	7.742431143
1328	7.742341018
1329	7.742218459
1330	7.742115703
1331	7.741987112
1332	7.741871723
1333	7.741750017
1334	7.74163807
1335	7.741544204
1336	7.741416465
1337	7.741286141
1338	7.741173899
1339	7.741056775
1340	7.740935631
1341	7.740825681
1342	7.740712284
1343	7.740592857
1344	7.740487783
1345	7.74037151
1346	7.740246335
1347	7.740127188
1348	7.740010049
1349	7.739892046
1350	7.739789833
1351	7.739651442
1352	7.739543196
1353	7.739432078
1354	7.739301433
1355	7.739168201
1356	7.739045304
1357	7.73893504
