iter	Passed	Remaining
0	7	98283
1	14	94861
2	21	93685
3	27	93058
4	34	92250
5	41	92462
6	48	92193
7	54	91397
8	61	91123
9	68	91111
10	75	91322
11	81	91305
12	89	91684
13	96	91685
14	103	91810
15	109	91468
16	116	91678
17	123	91795
18	131	92334
19	139	92923
20	146	93322
21	153	93149
22	160	93103
23	167	93148
24	174	93026
25	181	93334
26	188	93411
27	196	93760
28	203	93764
29	210	93648
30	217	93474
31	223	93240
32	230	93079
33	237	93065
34	244	93116
35	251	93129
36	258	93069
37	264	92920
38	271	92829
39	278	92818
40	285	92825
41	292	92763
42	298	92671
43	305	92624
44	312	92619
45	319	92540
46	326	92494
47	332	92467
48	339	92450
49	346	92390
50	353	92319
51	360	92314
52	367	92307
53	374	92343
54	381	92366
55	388	92339
56	394	92305
57	401	92301
58	408	92246
59	415	92191
60	421	92089
61	428	92079
62	435	92042
63	442	92173
64	450	92363
65	457	92346
66	464	92278
67	471	92305
68	478	92254
69	485	92236
70	491	92175
71	498	92161
72	505	92134
73	512	92109
74	519	92097
75	526	92107
76	532	92078
77	540	92117
78	546	92097
79	554	92146
80	561	92135
81	567	92089
82	575	92127
83	581	92120
84	589	92165
85	596	92144
86	602	92091
87	609	92063
88	616	92062
89	623	92058
90	630	92038
91	637	92022
92	643	91993
93	650	91982
94	657	91968
95	664	91949
96	671	91933
97	677	91893
98	684	91840
99	691	91817
100	698	91864
101	705	91817
102	712	91804
103	718	91783
104	726	91796
105	733	91803
106	739	91777
107	746	91759
108	753	91719
109	759	91670
110	766	91681
111	773	91664
112	780	91640
113	787	91622
114	794	91625
115	801	91626
116	808	91700
117	815	91696
118	822	91670
119	829	91676
120	836	91679
121	843	91642
122	850	91622
123	856	91597
124	863	91612
125	870	91580
126	877	91565
127	884	91576
128	891	91554
129	897	91517
130	904	91488
131	911	91487
132	918	91484
133	925	91457
134	931	91420
135	938	91397
136	945	91390
137	952	91375
138	958	91358
139	965	91335
140	972	91328
141	979	91290
142	986	91302
143	992	91276
144	999	91246
145	1006	91214
146	1012	91180
147	1019	91178
148	1026	91169
149	1033	91121
150	1040	91133
151	1046	91119
152	1054	91136
153	1060	91128
154	1067	91128
155	1074	91115
156	1081	91108
157	1088	91120
158	1095	91095
159	1102	91079
160	1108	91052
161	1115	91051
162	1122	91027
163	1130	91080
164	1137	91087
165	1143	91065
166	1150	91054
167	1158	91076
168	1164	91072
169	1171	91061
170	1178	91051
171	1185	91017
172	1191	90997
173	1199	91012
174	1205	91000
175	1212	90988
176	1219	90963
177	1226	90965
178	1233	90942
179	1239	90933
180	1246	90927
181	1253	90901
182	1260	90908
183	1267	90884
184	1274	90913
185	1281	90877
186	1287	90856
187	1294	90857
188	1301	90845
189	1308	90852
190	1315	90835
191	1322	90837
192	1329	90826
193	1335	90795
194	1342	90779
195	1349	90761
196	1355	90746
197	1362	90740
198	1370	90760
199	1377	90757
200	1383	90751
201	1390	90732
202	1397	90714
203	1404	90719
204	1411	90718
205	1418	90737
206	1425	90724
207	1432	90720
208	1439	90722
209	1446	90710
210	1452	90677
211	1459	90671
212	1466	90668
213	1473	90656
214	1480	90643
215	1486	90625
216	1493	90608
217	1500	90586
218	1507	90584
219	1513	90571
220	1520	90570
221	1527	90549
222	1534	90559
223	1541	90555
224	1548	90553
225	1555	90555
226	1562	90560
227	1569	90556
228	1576	90555
229	1583	90550
230	1590	90553
231	1597	90535
232	1604	90524
233	1611	90518
234	1617	90501
235	1624	90478
236	1631	90472
237	1638	90461
238	1645	90501
239	1652	90495
240	1659	90492
241	1666	90494
242	1673	90484
243	1680	90469
244	1687	90462
245	1693	90443
246	1700	90427
247	1707	90401
248	1713	90386
249	1720	90360
250	1727	90352
251	1734	90341
252	1741	90342
253	1748	90340
254	1754	90331
255	1761	90329
256	1768	90324
257	1775	90309
258	1782	90297
259	1789	90293
260	1795	90280
261	1802	90257
262	1809	90265
263	1816	90266
264	1823	90260
265	1830	90249
266	1837	90243
267	1844	90233
268	1850	90219
269	1857	90222
270	1864	90203
271	1871	90188
272	1878	90178
273	1885	90174
274	1891	90164
275	1898	90149
276	1905	90133
277	1911	90110
278	1918	90105
279	1925	90098
280	1932	90093
281	1939	90074
282	1946	90078
283	1953	90071
284	1959	90055
285	1966	90053
286	1973	90039
287	1980	90031
288	1987	90025
289	1994	90029
290	2001	90018
291	2008	90010
292	2015	90009
293	2021	89999
294	2028	89990
295	2035	89974
296	2042	89981
297	2049	89979
298	2056	89973
299	2063	89970
300	2070	89974
301	2077	89956
302	2084	89949
303	2090	89926
304	2097	89918
305	2104	89905
306	2111	89904
307	2118	89901
308	2125	89902
309	2131	89892
310	2138	89887
311	2145	89863
312	2152	89864
313	2158	89845
314	2165	89834
315	2172	89828
316	2179	89811
317	2185	89789
318	2192	89784
319	2199	89784
320	2206	89764
321	2213	89754
322	2219	89737
323	2226	89730
324	2232	89699
325	2239	89683
326	2246	89666
327	2252	89652
328	2259	89640
329	2266	89638
330	2273	89631
331	2280	89624
332	2286	89608
333	2294	89615
334	2300	89599
335	2307	89591
336	2314	89597
337	2321	89583
338	2328	89583
339	2335	89571
340	2342	89576
341	2349	89563
342	2356	89562
343	2362	89540
344	2369	89541
345	2376	89549
346	2384	89558
347	2391	89551
348	2397	89533
349	2404	89530
350	2411	89530
351	2418	89517
352	2425	89508
353	2432	89513
354	2439	89512
355	2446	89494
356	2452	89479
357	2459	89476
358	2466	89471
359	2473	89466
360	2480	89460
361	2487	89456
362	2494	89455
363	2501	89459
364	2508	89455
365	2515	89448
366	2522	89439
367	2529	89429
368	2535	89420
369	2542	89416
370	2549	89412
371	2556	89400
372	2563	89394
373	2570	89388
374	2577	89390
375	2584	89375
376	2590	89362
377	2597	89344
378	2604	89344
379	2611	89338
380	2618	89336
381	2625	89329
382	2631	89320
383	2639	89327
384	2645	89309
385	2652	89306
386	2659	89287
387	2666	89281
388	2672	89264
389	2679	89257
390	2686	89247
391	2693	89237
392	2699	89228
393	2706	89215
394	2713	89206
395	2720	89202
396	2726	89187
397	2733	89172
398	2740	89151
399	2746	89144
400	2753	89142
401	2760	89141
402	2768	89143
403	2774	89128
404	2781	89115
405	2788	89104
406	2794	89085
407	2801	89063
408	2807	89056
409	2814	89046
410	2821	89027
411	2827	89011
412	2834	89004
413	2841	88993
414	2847	88975
415	2854	88969
416	2861	88960
417	2868	88959
418	2875	88951
419	2882	88942
420	2889	88948
421	2896	88940
422	2903	88930
423	2909	88925
424	2916	88909
425	2923	88897
426	2929	88885
427	2937	88889
428	2944	88894
429	2951	88888
430	2958	88885
431	2965	88883
432	2972	88882
433	2979	88870
434	2985	88864
435	2992	88852
436	2999	88844
437	3006	88839
438	3012	88822
439	3019	88813
440	3026	88804
441	3033	88802
442	3040	88807
443	3047	88794
444	3053	88774
445	3060	88764
446	3067	88752
447	3073	88732
448	3080	88730
449	3087	88711
450	3093	88703
451	3100	88691
452	3107	88683
453	3114	88673
454	3120	88660
455	3127	88656
456	3134	88654
457	3141	88654
458	3149	88658
459	3156	88657
460	3162	88644
461	3169	88638
462	3176	88628
463	3183	88614
464	3189	88605
465	3197	88606
466	3203	88598
467	3210	88586
468	3216	88562
469	3223	88554
470	3230	88534
471	3237	88535
472	3243	88523
473	3250	88512
474	3257	88505
475	3264	88495
476	3270	88488
477	3277	88484
478	3284	88475
479	3291	88468
480	3298	88460
481	3305	88448
482	3311	88437
483	3318	88424
484	3325	88416
485	3332	88410
486	3338	88396
487	3345	88396
488	3353	88402
489	3359	88393
490	3367	88398
491	3374	88393
492	3381	88396
493	3387	88377
494	3394	88360
495	3401	88354
496	3408	88352
497	3414	88343
