customer_id,name,class,gender,start_date,end_date,campaign_id,is_deleted,class_name,price,campaign_name,routine_flg,calc_date,membership_period,median,max,min,mean
OA832399,XXXX,C01,F,2015-05-01,,CA1,0,オールタイム,10500,通常,1,2019-04-30,47,5.0,8,2,4.833333333333333
PL270116,XXXXX,C01,M,2015-05-01,,CA1,0,オールタイム,10500,通常,1,2019-04-30,47,5.0,7,3,5.083333333333333
OA974876,XXXXX,C01,M,2015-05-01,,CA1,0,オールタイム,10500,通常,1,2019-04-30,47,5.0,6,3,4.583333333333333
HD024127,XXXXX,C01,F,2015-05-01,,CA1,0,オールタイム,10500,通常,1,2019-04-30,47,4.5,7,2,4.833333333333333
HD661448,XXXXX,C03,F,2015-05-01,,CA1,0,ナイト,6000,通常,1,2019-04-30,47,4.0,6,1,3.9166666666666665
IK271057,XXXXX,C01,M,2015-05-01,,CA1,0,オールタイム,10500,通常,1,2019-04-30,47,3.5,5,2,3.75
HI324666,XXXXX,C01,M,2015-05-01,,CA1,0,オールタイム,10500,通常,1,2019-04-30,47,3.5,7,2,3.9166666666666665
AS647421,XXXXX,C01,F,2015-05-01,,CA1,0,オールタイム,10500,通常,1,2019-04-30,47,4.0,9,2,4.5
AS069821,XXXXXX,C03,F,2015-05-01,,CA1,0,ナイト,6000,通常,1,2019-04-30,47,3.5,7,2,4.083333333333333
GD039425,XXXXX,C01,F,2015-05-01,,CA1,0,オールタイム,10500,通常,1,2019-04-30,47,4.5,7,3,4.666666666666667
OA789036,XXXXX,C02,F,2015-05-01,,CA1,0,デイタイム,7500,通常,1,2019-04-30,47,5.0,7,1,4.75
AS058623,XXXXX,C01,F,2015-05-01,,CA1,0,オールタイム,10500,通常,1,2019-04-30,47,5.0,6,3,4.5
AS857207,XXXXX,C02,F,2015-05-01,,CA1,0,デイタイム,7500,通常,1,2019-04-30,47,5.0,8,2,4.5
AS625883,XXXX,C02,F,2015-05-01,,CA1,0,デイタイム,7500,通常,1,2019-04-30,47,5.0,6,2,4.75
HD782984,XXXXX,C02,F,2015-05-01,,CA1,0,デイタイム,7500,通常,1,2019-04-30,47,5.0,7,2,4.833333333333333
HI804186,XXXX,C02,F,2015-05-01,,CA1,0,デイタイム,7500,通常,1,2019-04-30,47,5.0,7,2,4.833333333333333
AS732240,XXXXX,C02,F,2015-05-01,,CA1,0,デイタイム,7500,通常,1,2019-04-30,47,5.0,7,2,4.666666666666667
PL834411,XXXXX,C03,F,2015-05-01,,CA1,0,ナイト,6000,通常,1,2019-04-30,47,4.5,8,1,4.916666666666667
HD516059,XXX,C03,M,2015-05-01,,CA1,0,ナイト,6000,通常,1,2019-04-30,47,4.0,7,1,4.166666666666667
HD194702,XXXX,C02,F,2015-05-01,,CA1,0,デイタイム,7500,通常,1,2019-04-30,47,5.0,8,1,4.916666666666667
IK102369,XXXX,C01,M,2015-05-01,,CA1,0,オールタイム,10500,通常,1,2019-04-30,47,5.0,6,3,4.75
AS183155,XXXXX,C03,F,2015-05-01,,CA1,0,ナイト,6000,通常,1,2019-04-30,47,4.5,7,2,4.5
HI339146,XXXXX,C01,F,2015-05-01,,CA1,0,オールタイム,10500,通常,1,2019-04-30,47,4.5,7,2,4.5
AS476267,XXXXX,C02,F,2015-05-01,,CA1,0,デイタイム,7500,通常,1,2019-04-30,47,5.0,7,3,4.916666666666667
PL928545,XXXXXX,C02,F,2015-05-01,,CA1,0,デイタイム,7500,通常,1,2019-04-30,47,4.0,7,2,4.333333333333333
OA372777,XXXXX,C03,M,2015-05-01,,CA1,0,ナイト,6000,通常,1,2019-04-30,47,4.0,6,1,3.6666666666666665
PL765022,XXX,C01,M,2015-05-01,,CA1,0,オールタイム,10500,通常,1,2019-04-30,47,4.5,7,3,4.583333333333333
OA803393,XXXX,C01,M,2015-05-01,,CA1,0,オールタイム,10500,通常,1,2019-04-30,47,4.5,8,2,4.75
OA071756,XXX,C01,M,2015-05-01,,CA1,0,オールタイム,10500,通常,1,2019-04-30,47,4.0,6,2,4.166666666666667
HI598974,XXX,C03,M,2015-05-01,,CA1,0,ナイト,6000,通常,1,2019-04-30,47,5.0,7,3,5.083333333333333
GD214739,XXXX,C01,M,2015-05-01,,CA1,0,オールタイム,10500,通常,1,2019-04-30,47,5.0,8,3,5.416666666666667
OA557824,XXX,C02,F,2015-05-01,,CA1,0,デイタイム,7500,通常,1,2019-04-30,47,4.0,8,1,4.25
IK098074,XX,C01,F,2015-05-01,,CA1,0,オールタイム,10500,通常,1,2019-04-30,47,3.5,7,1,4.083333333333333
HD792156,XXXX,C01,F,2015-05-01,,CA1,0,オールタイム,10500,通常,1,2019-04-30,47,5.0,7,2,4.666666666666667
OA478509,XXXX,C02,M,2015-05-01,,CA1,0,デイタイム,7500,通常,1,2019-04-30,47,5.0,7,2,4.666666666666667
HI388582,XX,C02,F,2015-05-01,,CA1,0,デイタイム,7500,通常,1,2019-04-30,47,5.0,6,3,4.833333333333333
TS210661,XXX,C01,M,2015-05-01,,CA1,0,オールタイム,10500,通常,1,2019-04-30,47,4.5,8,3,4.833333333333333
TS837282,XXXXXX,C01,F,2015-05-01,,CA1,0,オールタイム,10500,通常,1,2019-04-30,47,5.5,8,3,5.583333333333333
OA758157,XXXX,C01,M,2015-05-01,,CA1,0,オールタイム,10500,通常,1,2019-04-30,47,4.0,6,2,4.0
OA790739,XXXX,C01,M,2015-05-01,,CA1,0,オールタイム,10500,通常,1,2019-04-30,47,5.0,7,3,4.833333333333333
AS734592,XX,C02,F,2015-05-01,,CA1,0,デイタイム,7500,通常,1,2019-04-30,47,6.0,8,2,5.333333333333333
GD022268,XXX,C02,M,2015-05-01,,CA1,0,デイタイム,7500,通常,1,2019-04-30,47,5.0,7,1,4.166666666666667
IK059803,XXXXX,C02,F,2015-05-01,,CA1,0,デイタイム,7500,通常,1,2019-04-30,47,4.0,6,3,4.25
TS487207,XX,C01,M,2015-05-01,,CA1,0,オールタイム,10500,通常,1,2019-04-30,47,4.0,6,2,4.0
OA994859,XXXXX,C01,F,2015-05-01,,CA1,0,オールタイム,10500,通常,1,2019-04-30,47,5.0,9,3,5.5
PL221419,XXXX,C02,M,2015-05-01,,CA1,0,デイタイム,7500,通常,1,2019-04-30,47,5.5,9,3,5.5
HI570349,XXXXX,C01,F,2015-05-01,,CA1,0,オールタイム,10500,通常,1,2019-04-30,47,5.0,7,2,4.916666666666667
TS945284,XXX,C03,M,2015-05-01,,CA1,0,ナイト,6000,通常,1,2019-04-30,47,4.5,7,3,4.583333333333333
PL152568,XXXXX,C03,F,2015-05-01,,CA1,0,ナイト,6000,通常,1,2019-04-30,47,5.0,8,2,4.666666666666667
GD967749,XXXX,C01,F,2015-05-01,,CA1,0,オールタイム,10500,通常,1,2019-04-30,47,4.5,8,3,4.666666666666667
HI635742,XXXXXX,C02,F,2015-05-01,,CA1,0,デイタイム,7500,通常,1,2019-04-30,47,4.5,6,2,4.416666666666667
AS970810,XXXXX,C03,F,2015-05-01,,CA1,0,ナイト,6000,通常,1,2019-04-30,47,4.0,6,2,4.333333333333333
GD163149,XXXXX,C03,M,2015-05-01,,CA1,0,ナイト,6000,通常,1,2019-04-30,47,5.0,8,2,4.916666666666667
HD124700,XXXX,C01,M,2015-05-01,,CA1,0,オールタイム,10500,通常,1,2019-04-30,47,4.0,8,2,4.5
HD349501,XX,C01,F,2015-05-01,,CA1,0,オールタイム,10500,通常,1,2019-04-30,47,5.0,8,1,4.833333333333333
GD126553,XXX,C01,M,2015-05-01,,CA1,0,オールタイム,10500,通常,1,2019-04-30,47,5.0,8,3,5.333333333333333
AS926104,XXXX,C03,F,2015-05-01,,CA1,0,ナイト,6000,通常,1,2019-04-30,47,4.5,6,3,4.416666666666667
GD360440,XXXXXX,C03,M,2015-05-01,,CA1,0,ナイト,6000,通常,1,2019-04-30,47,5.0,6,1,4.5
IK701555,XXXXX,C02,F,2015-05-01,,CA1,0,デイタイム,7500,通常,1,2019-04-30,47,5.0,6,1,4.75
AS777651,XXXXX,C01,M,2015-05-01,,CA1,0,オールタイム,10500,通常,1,2019-04-30,47,3.5,7,2,4.166666666666667
PL241896,XXXX,C03,F,2015-05-01,,CA1,0,ナイト,6000,通常,1,2019-04-30,47,4.0,7,2,4.333333333333333
PL920046,XXXXX,C02,F,2015-05-01,,CA1,0,デイタイム,7500,通常,1,2019-04-30,47,4.0,8,2,4.333333333333333
PL367795,XXXX,C01,F,2015-06-01,,CA1,0,オールタイム,10500,通常,1,2019-04-30,46,4.0,7,1,3.4166666666666665
HI324110,XXXXX,C01,M,2015-06-01,,CA1,0,オールタイム,10500,通常,1,2019-04-30,46,3.0,7,1,3.4166666666666665
OA630902,XXXX,C03,M,2015-06-01,,CA1,0,ナイト,6000,通常,1,2019-04-30,46,5.0,8,3,4.666666666666667
GD292781,XXXX,C02,F,2015-06-01,,CA1,0,デイタイム,7500,通常,1,2019-04-30,46,5.0,7,2,4.666666666666667
PL912172,XXXXXX,C03,M,2015-06-01,,CA1,0,ナイト,6000,通常,1,2019-04-30,46,4.5,7,2,4.5
HI582217,XXXXX,C01,M,2015-06-01,,CA1,0,オールタイム,10500,通常,1,2019-04-30,46,4.5,7,3,4.666666666666667
TS038130,XXXXX,C03,M,2015-06-01,,CA1,0,ナイト,6000,通常,1,2019-04-30,46,5.0,7,2,4.75
TS200932,XXX,C01,F,2015-06-01,,CA1,0,オールタイム,10500,通常,1,2019-04-30,46,5.0,7,2,4.916666666666667
GD728611,XXXXX,C02,F,2015-06-01,,CA1,0,デイタイム,7500,通常,1,2019-04-30,46,3.5,6,1,3.8333333333333335
HI525851,XXXXXX,C03,M,2015-06-01,,CA1,0,ナイト,6000,通常,1,2019-04-30,46,4.5,8,2,4.833333333333333
PL540895,XXX,C03,M,2015-06-01,,CA1,0,ナイト,6000,通常,1,2019-04-30,46,4.5,7,2,4.666666666666667
PL410964,XXXXX,C01,M,2015-06-01,,CA1,0,オールタイム,10500,通常,1,2019-04-30,46,4.0,7,1,4.25
HI728364,XXXX,C01,M,2015-06-01,,CA1,0,オールタイム,10500,通常,1,2019-04-30,46,4.0,7,2,4.25
HI373547,XXXXX,C01,F,2015-06-01,,CA1,0,オールタイム,10500,通常,1,2019-04-30,46,3.0,8,2,4.0
GD489678,XXXXX,C01,M,2015-06-01,,CA1,0,オールタイム,10500,通常,1,2019-04-30,46,4.5,9,2,4.75
